1413747310 utime Stat TireWrn TLF  TRF  TRT  TSP  T5  PrLF PrRF PrRT PrSP Pr5 SNLF SNRF SNRT SNSP SN5 lowBatt low12T low25T Ssn act msW CT ACKA EET
1413747341 33946 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747342 34952 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747343 35963 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747345 37387 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747346 38393 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747347 39396 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747348 40399 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747349 41406 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747350 42410 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747351 43414 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747352 44417 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747353 45420 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747354 46427 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747355 47428 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747356 48431 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747357 49438 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747358 50449 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747359 51457 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747360 52460 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747361 53462 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747362 54467 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747363 55473 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747364 56475 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747365 57482 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747366 58486 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747367 59492 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747368 60497 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747369 61507 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747370 62508 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747371 63518 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747372 64522 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747373 65529 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747374 66534 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747375 67541 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747376 68549 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747377 69553 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747378 70559 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747379 71563 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747380 72570 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747381 73577 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747382 74579 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747383 75582 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747384 76586 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747385 77588 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747386 78591 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747387 79592 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747388 80595 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747389 81597 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747390 82599 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747391 83605 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747392 84612 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747393 85620 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747394 86625 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747395 87629 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747396 88636 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747397 89637 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747398 90643 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747399 91655 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747400 92657 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747401 93660 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747402 94670 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747403 95672 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747404 96679 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747405 97683 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747406 98688 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747407 99697 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747408 100702 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747409 101709 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747410 102721 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747411 103725 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747412 104729 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747413 105730 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747414 106731 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747415 107737 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747416 108741 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747417 109748 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747418 110751 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747419 111752 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747420 112754 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747421 113758 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747422 114765 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747423 115772 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747424 116779 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747425 117783 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747426 118788 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747427 119794 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747428 120797 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747429 121798 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747430 122806 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747431 123808 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747432 124809 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747433 125815 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747434 126822 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747435 127829 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747436 128833 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747437 129834 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747438 130840 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747439 131845 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747440 132852 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747441 133857 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747442 134865 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747443 135870 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747444 136875 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747445 137879 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747446 138882 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747447 139886 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747448 140889 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747449 141892 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747450 142902 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747451 143910 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747452 144911 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747453 145916 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747454 146923 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747455 147927 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747456 148945 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747457 149951 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747458 150954 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747459 151957 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747460 152959 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747461 153960 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747462 154967 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747463 155968 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747464 156973 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747465 157981 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747466 158983 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747467 159986 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747468 160988 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747469 161996 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747471 163000 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747472 164006 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747473 165013 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747474 166020 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747475 167025 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747476 168031 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747477 169036 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747478 170043 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747479 171049 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747480 172051 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747481 173052 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747482 174053 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747483 175059 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747484 176063 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747485 177067 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747486 178070 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747487 179073 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747488 180077 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747489 181078 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747490 182085 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747491 183088 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747492 184090 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747493 185096 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747494 186102 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747495 187106 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747496 188107 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747497 189110 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747498 190115 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747499 191122 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747500 192126 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747501 193135 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747502 194143 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747503 195149 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747504 196155 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747505 197161 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747506 198169 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747507 199171 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747508 200177 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747509 201178 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747510 202182 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747511 203184 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747512 204186 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747513 205200 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747514 206204 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747515 207211 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747516 208217 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747517 209218 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747518 210219 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747519 211224 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747520 212232 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
